Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
30008,645.884,210.557998960925,182.516515695305,1.15363805932189,0.498615976402717,30724,195.467061824781,0.782681272822118,0.976695742741831,0.903936374317338,0.928328834759944,0.0070167288376741,0.00321456207939,0.861794425446755,0.99419884850682,SEKER
30140,620.134,201.847882166738,190.279278786648,1.06079801990978,0.333679657773177,30417,195.896502976234,0.77309803519212,0.990893250484926,0.98487706935091,0.970515523241471,0.0066970100254392,0.0036649719644516,0.941900380852666,0.999166058960777,SEKER
31374,636.401,219.865394008333,182.008863698133,1.207992784203,0.560994520118261,31604,199.8664991351,0.769196822594881,0.992722440197443,0.973459862403212,0.909040279106065,0.0070078853193196,0.0029518837956689,0.826354229037234,0.998229945872614,SEKER
31675,657.431,236.752632109384,171.210559184609,1.38281559990762,0.690678219290455,32009,200.822963277326,0.74093567251462,0.989565434721485,0.920928960232452,0.848239622461906,0.0074744319529402,0.002386888739221,0.719510457114316,0.994950284394336,SEKER
32015,653.676,212.929989278447,191.810134583788,1.11010812718779,0.434206940282972,32375,201.897904953707,0.761880964279765,0.988880308880309,0.941538948867788,0.948189147230393,0.0066509445347008,0.0033162175205669,0.8990626589255,0.998056764524262,SEKER
32026,654.237,230.979067419152,176.931808304158,1.30546943273243,0.642831065083752,32349,201.932586918725,0.779448987538941,0.990015147299762,0.940247873362075,0.874246264715767,0.0072122359151674,0.002598871632471,0.764306531369471,0.997778813940591,SEKER
32038,645.085,224.482321107924,181.940866806836,1.23382022438232,0.585751299809343,32308,201.970414997408,0.770514670514671,0.991642936733936,0.967478614801258,0.899716351829356,0.0070067520166029,0.0028321676925391,0.809489513749126,0.998764533489084,SEKER
32044,652.651,216.147146845467,188.970540325967,1.14381398535783,0.485443520101132,32395,201.989326380117,0.778069153069153,0.989164994597932,0.94535422940668,0.934499156375763,0.0067453235190821,0.0031732055227639,0.873288673267012,0.998879797737396,SEKER
32233,665.493,221.233683701027,185.592372872437,1.1920408165323,0.544289509536922,32710,202.584131277473,0.775204425204425,0.985417303576888,0.914584019736575,0.915702020996241,0.0068635771942117,0.0029767816237827,0.8385101912566,0.999538373056174,SEKER
32262,652.419,222.698656271345,184.512992892548,1.20695379105923,0.559941517597533,32563,202.675243165626,0.781313571636152,0.990756379940423,0.952462641652081,0.910087409412469,0.0069028162008352,0.0029210466788225,0.8282590927711,0.999670451999354,SEKER
